repo,repo_url,is_fork,is_private,license_spdx,license_name,license_url,open_source_policy
simberaj/zpevnik,https://github.com/simberaj/zpevnik,false,false,,,,blocked_missing_or_unclear_license_metadata
brmson/Personal-Assistant,https://github.com/brmson/Personal-Assistant,false,false,,,,blocked_missing_or_unclear_license_metadata
matfyz/statnice,https://github.com/matfyz/statnice,false,false,,,,blocked_missing_or_unclear_license_metadata
petercsiba/fmfi-poznamky,https://github.com/petercsiba/fmfi-poznamky,false,false,,,,blocked_missing_or_unclear_license_metadata
EmanuelAntol/SZZ-BPC-TLI-2026,https://github.com/EmanuelAntol/SZZ-BPC-TLI-2026,false,false,,,,blocked_missing_or_unclear_license_metadata
mmsrubar/MAT-sbirka-prikladu,https://github.com/mmsrubar/MAT-sbirka-prikladu,false,false,,,,blocked_missing_or_unclear_license_metadata
knedl1k/B2M01TIK,https://github.com/knedl1k/B2M01TIK,false,false,CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,,open_license_metadata
VUT-FEKT-IBE/BPC-IBE-SZZ,https://github.com/VUT-FEKT-IBE/BPC-IBE-SZZ,false,false,MIT,MIT License,,open_license_metadata
jakubjelinek/Editio-Sti-Wolfgangi,https://github.com/jakubjelinek/Editio-Sti-Wolfgangi,false,false,,,,blocked_missing_or_unclear_license_metadata
RomLab/system-for-underfloor-heating-v2.0,https://github.com/RomLab/system-for-underfloor-heating-v2.0,false,false,,,,blocked_missing_or_unclear_license_metadata
pkonas/AutoGenBook,https://github.com/pkonas/AutoGenBook,false,false,APACHE-2.0,Apache License 2.0,,open_license_metadata
Jakuje/fit-isz,https://github.com/Jakuje/fit-isz,false,false,,,,blocked_missing_or_unclear_license_metadata
RoboticsBrno/RoboticsBrno-guides,https://github.com/RoboticsBrno/RoboticsBrno-guides,false,false,MIT,MIT License,,open_license_metadata
fit-szz/szz-bootcamp,https://github.com/fit-szz/szz-bootcamp,false,false,,,,blocked_missing_or_unclear_license_metadata
Reblexis/statnice-mff,https://github.com/Reblexis/statnice-mff,false,false,,,,blocked_missing_or_unclear_license_metadata
JoHavel/MFFNotes,https://github.com/JoHavel/MFFNotes,false,false,MIT,MIT License,,open_license_metadata
petr-skoda/statnice-AI,https://github.com/petr-skoda/statnice-AI,false,false,,,,blocked_missing_or_unclear_license_metadata
daemontus/statnice_priprava,https://github.com/daemontus/statnice_priprava,false,false,MIT,MIT License,,open_license_metadata
reasonablecow/share,https://github.com/reasonablecow/share,false,false,MIT,MIT License,,open_license_metadata
vilemfiala/czech-absa-thesis,https://github.com/vilemfiala/czech-absa-thesis,false,false,MIT,MIT License,,open_license_metadata
mspi21/bakalarska_prace,https://github.com/mspi21/bakalarska_prace,false,false,,,,blocked_missing_or_unclear_license_metadata
drobnyd/Thesis,https://github.com/drobnyd/Thesis,false,false,,,,blocked_missing_or_unclear_license_metadata
marekklein/ohs,https://github.com/marekklein/ohs,false,false,,,,blocked_missing_or_unclear_license_metadata
McLehotsky/poit_peltier_project,https://github.com/McLehotsky/poit_peltier_project,false,false,,,,blocked_missing_or_unclear_license_metadata
FrostyX/statnice-bc,https://github.com/FrostyX/statnice-bc,false,false,GPL-2.0,GNU General Public License v2.0,,open_license_metadata
deric/x01avt,https://github.com/deric/x01avt,false,false,,,,blocked_missing_or_unclear_license_metadata
L3435/Predavanja-FMF,https://github.com/L3435/Predavanja-FMF,false,false,,,,blocked_missing_or_unclear_license_metadata
iruspro/zapiski-fmf,https://github.com/iruspro/zapiski-fmf,false,false,MIT,MIT License,,open_license_metadata
andrejbauer/ucbenik-logika-in-mnozice,https://github.com/andrejbauer/ucbenik-logika-in-mnozice,false,false,,,,blocked_missing_or_unclear_license_metadata
jureslak/listi-na-kolokvijih,https://github.com/jureslak/listi-na-kolokvijih,false,false,,,,blocked_missing_or_unclear_license_metadata
njezersek/Izbrana-poglavja-iz-matematike-zapiski,https://github.com/njezersek/Izbrana-poglavja-iz-matematike-zapiski,false,false,,,,blocked_missing_or_unclear_license_metadata
jakic12/diplomska,https://github.com/jakic12/diplomska,false,false,,,,blocked_missing_or_unclear_license_metadata
kokicarvesolja/FP3,https://github.com/kokicarvesolja/FP3,false,false,,,,blocked_missing_or_unclear_license_metadata
kazi99/Mag,https://github.com/kazi99/Mag,false,false,,,,blocked_missing_or_unclear_license_metadata
miklaviclenart/diploma,https://github.com/miklaviclenart/diploma,false,false,,,,blocked_missing_or_unclear_license_metadata
TheJim123/Diplomska-naloga,https://github.com/TheJim123/Diplomska-naloga,false,false,MIT,MIT License,,open_license_metadata
njezersek/Diskretne-strukture-2-zapiski,https://github.com/njezersek/Diskretne-strukture-2-zapiski,false,false,,,,blocked_missing_or_unclear_license_metadata
GalAntonGorse/Uvod-v-geometrijsko-topologijo,https://github.com/GalAntonGorse/Uvod-v-geometrijsko-topologijo,false,false,,,,blocked_missing_or_unclear_license_metadata
matevzdemsar/Zapiski-2025-26,https://github.com/matevzdemsar/Zapiski-2025-26,false,false,,,,blocked_missing_or_unclear_license_metadata
Tomaz12345/Kombinatorika2-zapiski,https://github.com/Tomaz12345/Kombinatorika2-zapiski,false,false,,,,blocked_missing_or_unclear_license_metadata
njezersek/Algebra-zapiski,https://github.com/njezersek/Algebra-zapiski,false,false,,,,blocked_missing_or_unclear_license_metadata
jozzez1/Seminarji,https://github.com/jozzez1/Seminarji,false,false,,,,blocked_missing_or_unclear_license_metadata
MightyOwler/Diplomska-naloga,https://github.com/MightyOwler/Diplomska-naloga,false,false,,,,blocked_missing_or_unclear_license_metadata
lunar-starlight/Magisterij,https://github.com/lunar-starlight/Magisterij,false,false,MIT,MIT License,,open_license_metadata
VedranLugaric/Dipol,https://github.com/VedranLugaric/Dipol,false,false,,,,blocked_missing_or_unclear_license_metadata
kuco23/graduate-thesis,https://github.com/kuco23/graduate-thesis,false,false,MIT,MIT License,,open_license_metadata
UrosKosmac123/Magistrska,https://github.com/UrosKosmac123/Magistrska,false,false,,,,blocked_missing_or_unclear_license_metadata
matevzdemsar/Zapiski-2024-25,https://github.com/matevzdemsar/Zapiski-2024-25,false,false,,,,blocked_missing_or_unclear_license_metadata
kokicarvesolja/FP4,https://github.com/kokicarvesolja/FP4,false,false,,,,blocked_missing_or_unclear_license_metadata
L3435/Holomorfni-avtomorfizmi,https://github.com/L3435/Holomorfni-avtomorfizmi,false,false,,,,blocked_missing_or_unclear_license_metadata
ScamanderWayne/WayneTeX,https://github.com/ScamanderWayne/WayneTeX,false,false,,,,blocked_missing_or_unclear_license_metadata
f-hluchnik/zpevnik,https://github.com/f-hluchnik/zpevnik,false,false,APACHE-2.0,Apache License 2.0,,open_license_metadata
Headary/maturita,https://github.com/Headary/maturita,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
JanHerca/urantiapedia,https://github.com/JanHerca/urantiapedia,false,false,,,,blocked_missing_or_unclear_license_metadata
bornagojsic/dismat2,https://github.com/bornagojsic/dismat2,false,false,MIT,MIT License,,open_license_metadata
karel-brinda/tp-zpevnik,https://github.com/karel-brinda/tp-zpevnik,false,false,MIT,MIT License,,open_license_metadata
JindrazPrahy/DvojkarskyZpevnik,https://github.com/JindrazPrahy/DvojkarskyZpevnik,false,false,,,,blocked_missing_or_unclear_license_metadata
mychalvlcek/cvut-oi-si-mssz,https://github.com/mychalvlcek/cvut-oi-si-mssz,false,false,,,,blocked_missing_or_unclear_license_metadata
Tesser3kt/GEVO,https://github.com/Tesser3kt/GEVO,false,false,,,,blocked_missing_or_unclear_license_metadata
Hendrix-CS/programming-team,https://github.com/Hendrix-CS/programming-team,false,false,CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,,open_license_metadata
nevenjovanovic/grcka-morfologija,https://github.com/nevenjovanovic/grcka-morfologija,false,false,CC-BY-4.0,Creative Commons Attribution 4.0 International,,open_license_metadata
tin-svagelj-fidit/numericka-matematika,https://github.com/tin-svagelj-fidit/numericka-matematika,false,false,,,,blocked_missing_or_unclear_license_metadata
CZDanol/AnotherCraft,https://github.com/CZDanol/AnotherCraft,false,false,APACHE-2.0,Apache License 2.0,,open_license_metadata
irendie/songbook,https://github.com/irendie/songbook,false,false,,,,blocked_missing_or_unclear_license_metadata
Dzigiii/materijali,https://github.com/Dzigiii/materijali,false,false,,,,blocked_missing_or_unclear_license_metadata
SafarMirek/bachelor_thesis,https://github.com/SafarMirek/bachelor_thesis,false,false,,,,blocked_missing_or_unclear_license_metadata
hlavatytomas/tomikuvZpevnik,https://github.com/hlavatytomas/tomikuvZpevnik,false,false,,,,blocked_missing_or_unclear_license_metadata
robert-marik/math4you-summary,https://github.com/robert-marik/math4you-summary,false,false,,,,blocked_missing_or_unclear_license_metadata
ondrajasnik/RocnikovyProjekt,https://github.com/ondrajasnik/RocnikovyProjekt,false,false,,,,blocked_missing_or_unclear_license_metadata
Mihalei/Text-Summarization-Final-Project,https://github.com/Mihalei/Text-Summarization-Final-Project,false,false,,,,blocked_missing_or_unclear_license_metadata
kosyonikolov/FinalStupidty2021,https://github.com/kosyonikolov/FinalStupidty2021,false,false,,,,blocked_missing_or_unclear_license_metadata
NoHomey/fmi-bachelor-the-math-part,https://github.com/NoHomey/fmi-bachelor-the-math-part,false,false,,,,blocked_missing_or_unclear_license_metadata
v--/se2018,https://github.com/v--/se2018,false,false,CC0-1.0,Creative Commons Zero v1.0 Universal,,open_license_metadata
boki1/tex-doc-template,https://github.com/boki1/tex-doc-template,false,false,MIT,MIT License,,open_license_metadata
NoHomey/logic-programming-2019-2020,https://github.com/NoHomey/logic-programming-2019-2020,false,false,MIT,MIT License,,open_license_metadata
ValentinDeliyski/Dissertation,https://github.com/ValentinDeliyski/Dissertation,false,false,,,,blocked_missing_or_unclear_license_metadata
Angeld55/phd-thesis-onlinegn,https://github.com/Angeld55/phd-thesis-onlinegn,false,false,,,,blocked_missing_or_unclear_license_metadata
v--/notebook,https://github.com/v--/notebook,false,false,CC0-1.0,Creative Commons Zero v1.0 Universal,,open_license_metadata
code-hunger/modules-over-PID,https://github.com/code-hunger/modules-over-PID,false,false,,,,blocked_missing_or_unclear_license_metadata
CloakMe/Boussinesq,https://github.com/CloakMe/Boussinesq,false,false,,,,blocked_missing_or_unclear_license_metadata
tos-network/whitepaper,https://github.com/tos-network/whitepaper,false,false,,,,blocked_missing_or_unclear_license_metadata
code-hunger/math,https://github.com/code-hunger/math,false,false,,,,blocked_missing_or_unclear_license_metadata
djoto/master_rad,https://github.com/djoto/master_rad,false,false,,,,blocked_missing_or_unclear_license_metadata
ndjapic/mat7-2024,https://github.com/ndjapic/mat7-2024,false,false,,,,blocked_missing_or_unclear_license_metadata
ristic-ac/Matematika-DAS,https://github.com/ristic-ac/Matematika-DAS,false,false,MIT,MIT License,,open_license_metadata
djokicd/zbirka-ms,https://github.com/djokicd/zbirka-ms,false,false,,,,blocked_missing_or_unclear_license_metadata
lazar-popadic/parallel_manipulator,https://github.com/lazar-popadic/parallel_manipulator,false,false,,,,blocked_missing_or_unclear_license_metadata
,,,,,,,blocked_license_lookup_failed
aSrki/BachelorThesis,https://github.com/aSrki/BachelorThesis,false,false,,,,blocked_missing_or_unclear_license_metadata
Harrix/Harrix-LaTeXDocumentTemplate,https://github.com/Harrix/Harrix-LaTeXDocumentTemplate,false,false,MIT,MIT License,,open_license_metadata
DespairedController/computer-architecture,https://github.com/DespairedController/computer-architecture,false,false,,,,blocked_missing_or_unclear_license_metadata
dKab/University-Stuff,https://github.com/dKab/University-Stuff,false,false,,,,blocked_missing_or_unclear_license_metadata
BlackSamorez/mipt_lab,https://github.com/BlackSamorez/mipt_lab,false,false,APACHE-2.0,Apache License 2.0,,open_license_metadata
KevaTeam/ctf-attack-defense,https://github.com/KevaTeam/ctf-attack-defense,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
isagila/tesc,https://github.com/isagila/tesc,false,false,MIT,MIT License,,open_license_metadata
vlsergey/infosec,https://github.com/vlsergey/infosec,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
GOS-Book/GOS-Book.github.io,https://github.com/GOS-Book/GOS-Book.github.io,false,false,MIT,MIT License,,open_license_metadata
Krugloff/rus_ruby_book,https://github.com/Krugloff/rus_ruby_book,false,false,,,,blocked_missing_or_unclear_license_metadata
gogabr/pfds,https://github.com/gogabr/pfds,false,false,,,,blocked_missing_or_unclear_license_metadata
groupoid/axio,https://github.com/groupoid/axio,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
yzh44yzh/elixir_course,https://github.com/yzh44yzh/elixir_course,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
alexeyr/miet-haskell-course,https://github.com/alexeyr/miet-haskell-course,false,false,,,,blocked_missing_or_unclear_license_metadata
dawidpawliczek4/aisd-solutions,https://github.com/dawidpawliczek4/aisd-solutions,false,false,,,,blocked_missing_or_unclear_license_metadata
KarolKozlowski22/MMFI_projekt,https://github.com/KarolKozlowski22/MMFI_projekt,false,false,,,,blocked_missing_or_unclear_license_metadata
Agrabski/C-equals-1,https://github.com/Agrabski/C-equals-1,false,false,,,,blocked_missing_or_unclear_license_metadata
Smitchelld/Quill,https://github.com/Smitchelld/Quill,false,false,,,,blocked_missing_or_unclear_license_metadata
szymbaramichal/WasteFree,https://github.com/szymbaramichal/WasteFree,false,false,MIT,MIT License,,open_license_metadata
ousidus/magisterka-2026,https://github.com/ousidus/magisterka-2026,false,false,CC-BY-4.0,Creative Commons Attribution 4.0 International,,open_license_metadata
adendek/Magisterka,https://github.com/adendek/Magisterka,false,false,,,,blocked_missing_or_unclear_license_metadata
borodziejciesla/teoria_sterowania_laboratorium,https://github.com/borodziejciesla/teoria_sterowania_laboratorium,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
michal95pl/engineering-thesis,https://github.com/michal95pl/engineering-thesis,false,false,,,,blocked_missing_or_unclear_license_metadata
wrobdomi/AGH-UST,https://github.com/wrobdomi/AGH-UST,false,false,,,,blocked_missing_or_unclear_license_metadata
tugitbartlomiej/MyJepa,https://github.com/tugitbartlomiej/MyJepa,false,false,,,,blocked_missing_or_unclear_license_metadata
platadawid/wastefreecloud_refactoring,https://github.com/platadawid/wastefreecloud_refactoring,false,false,MIT,MIT License,,open_license_metadata
zenwor/silabus,https://github.com/zenwor/silabus,false,false,MIT,MIT License,,open_license_metadata
skakunm/Matematika-2-skripta,https://github.com/skakunm/Matematika-2-skripta,false,false,,,,blocked_missing_or_unclear_license_metadata
anjaaaj/anjarac,https://github.com/anjaaaj/anjarac,false,false,MIT,MIT License,,open_license_metadata
JanKastelic/Matematika-v-gimnaziji,https://github.com/JanKastelic/Matematika-v-gimnaziji,false,false,,,,blocked_missing_or_unclear_license_metadata
dirsulaiman/skripsi,https://github.com/dirsulaiman/skripsi,false,false,BSD-3-CLAUSE,"BSD 3-Clause ""New"" or ""Revised"" License",,open_license_metadata
septsea/det,https://github.com/septsea/det,false,false,0BSD,BSD Zero Clause License,,blocked_missing_or_unclear_license_metadata
pllk/cphb,https://github.com/pllk/cphb,false,false,,,,blocked_missing_or_unclear_license_metadata
ajienator/template-skripsi-latex-ilkom,https://github.com/ajienator/template-skripsi-latex-ilkom,false,false,MIT,MIT License,,open_license_metadata
AndrewMathas/WebQuiz,https://github.com/AndrewMathas/WebQuiz,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
2black0/Template-LaTeX-Tugas-Akhir-Sarjana-Terapan-UNY,https://github.com/2black0/Template-LaTeX-Tugas-Akhir-Sarjana-Terapan-UNY,false,false,MIT,MIT License,,open_license_metadata
josefdolezal/fit-cvut,https://github.com/josefdolezal/fit-cvut,false,false,MIT,MIT License,,open_license_metadata
dubniczky/Password-Cracker,https://github.com/dubniczky/Password-Cracker,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
BukuInformatika/python,https://github.com/BukuInformatika/python,false,false,AGPL-3.0,GNU Affero General Public License v3.0,,open_license_metadata
riparuk/thesis-latex-template-fmipa-usk,https://github.com/riparuk/thesis-latex-template-fmipa-usk,false,false,OTHER,Other,,blocked_missing_or_unclear_license_metadata
rahard/buku-python,https://github.com/rahard/buku-python,false,false,,,,blocked_missing_or_unclear_license_metadata
paolobrasolin/tex-dicISCZ,https://github.com/paolobrasolin/tex-dicISCZ,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
pemrograman-iii/2b_grup2,https://github.com/pemrograman-iii/2b_grup2,false,false,AGPL-3.0,GNU Affero General Public License v3.0,,open_license_metadata
bagustris/tutorial-latex,https://github.com/bagustris/tutorial-latex,false,false,,,,blocked_missing_or_unclear_license_metadata
chamik/ksp-latex-template,https://github.com/chamik/ksp-latex-template,false,false,MIT,MIT License,,open_license_metadata
